[ 2023-08-10 15:55:49,345 ] 695 tika.tika - WARNING - Failed to see startup log message; retrying...
[ 2023-08-10 15:55:54,947 ] 16 root - INFO - File CV_Abdelaziz_Brahem.pdf loaded successfully
[ 2023-08-10 15:55:54,947 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:54,978 ] 35 root - ERROR - Error while reading the file: 'NoneType' object has no attribute 'lower'
[ 2023-08-10 15:55:54,978 ] 23 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-10 15:55:54,978 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,095 ] 16 root - INFO - File CV_Ahlem_Marzougui.pdf loaded successfully
[ 2023-08-10 15:55:55,095 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,171 ] 16 root - INFO - File CV_Ahmed_Amamou.pdf loaded successfully
[ 2023-08-10 15:55:55,171 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,224 ] 16 root - INFO - File CV_Ahmed_Dziri.pdf loaded successfully
[ 2023-08-10 15:55:55,224 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,498 ] 16 root - INFO - File CV_Ahmed_Farhat.pdf loaded successfully
[ 2023-08-10 15:55:55,498 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,574 ] 16 root - INFO - File CV_Amine_Gafsi.pdf loaded successfully
[ 2023-08-10 15:55:55,574 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,621 ] 16 root - INFO - File CV_Amine_Ghedira.pdf loaded successfully
[ 2023-08-10 15:55:55,621 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,656 ] 16 root - INFO - File CV_Anwer_Boubaker.pdf loaded successfully
[ 2023-08-10 15:55:55,656 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,684 ] 16 root - INFO - File CV_Asma_Chakroun.pdf loaded successfully
[ 2023-08-10 15:55:55,684 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,734 ] 16 root - INFO - File CV_Aya_Benjazia.pdf loaded successfully
[ 2023-08-10 15:55:55,734 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,792 ] 16 root - INFO - File CV_Aymen_Ghnia.pdf loaded successfully
[ 2023-08-10 15:55:55,792 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,827 ] 16 root - INFO - File CV_Ayoub_Ben_Latifa.pdf loaded successfully
[ 2023-08-10 15:55:55,828 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:55,879 ] 16 root - INFO - File CV_Ben_Chaaben_Yassin.pdf loaded successfully
[ 2023-08-10 15:55:55,879 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,055 ] 16 root - INFO - File CV_Chedy_Sakly.pdf loaded successfully
[ 2023-08-10 15:55:56,055 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,125 ] 16 root - INFO - File CV_Donia_Chaouch.pdf loaded successfully
[ 2023-08-10 15:55:56,125 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,197 ] 16 root - INFO - File CV_Eya_Rejeb.pdf loaded successfully
[ 2023-08-10 15:55:56,197 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,241 ] 16 root - INFO - File CV_EYA_Sekma.pdf loaded successfully
[ 2023-08-10 15:55:56,241 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,286 ] 16 root - INFO - File CV_Fadi_Zaafrane.pdf loaded successfully
[ 2023-08-10 15:55:56,287 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,313 ] 16 root - INFO - File CV_Fatma_Bouzgarrou.pdf loaded successfully
[ 2023-08-10 15:55:56,313 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,383 ] 16 root - INFO - File CV_Hana_Zrafi.pdf loaded successfully
[ 2023-08-10 15:55:56,383 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,417 ] 16 root - INFO - File CV_Houssem_Hassani.pdf loaded successfully
[ 2023-08-10 15:55:56,417 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,504 ] 16 root - INFO - File CV_Houssem_Kraiem.pdf loaded successfully
[ 2023-08-10 15:55:56,504 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,631 ] 16 root - INFO - File CV_Ibrahim_Youssef.pdf loaded successfully
[ 2023-08-10 15:55:56,631 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,694 ] 16 root - INFO - File CV_Ibtihel_Khdhaouria.pdf loaded successfully
[ 2023-08-10 15:55:56,694 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,740 ] 16 root - INFO - File CV_Iheb_Alouane.pdf loaded successfully
[ 2023-08-10 15:55:56,740 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,813 ] 16 root - INFO - File CV_Isra_Dakhlaoui.pdf loaded successfully
[ 2023-08-10 15:55:56,813 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,879 ] 16 root - INFO - File CV_Khaled_Chtioui.pdf loaded successfully
[ 2023-08-10 15:55:56,879 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:56,936 ] 16 root - INFO - File CV_khawla_belkacem.pdf loaded successfully
[ 2023-08-10 15:55:56,936 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,016 ] 16 root - INFO - File CV_Lina_Ounaies.pdf loaded successfully
[ 2023-08-10 15:55:57,016 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,065 ] 35 root - ERROR - Error while reading the file: 'NoneType' object has no attribute 'lower'
[ 2023-08-10 15:55:57,066 ] 23 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-10 15:55:57,066 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,120 ] 16 root - INFO - File CV_Med_Houssem_Beltifa.pdf loaded successfully
[ 2023-08-10 15:55:57,120 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,175 ] 16 root - INFO - File CV_Med_Neji_Benzarti.pdf loaded successfully
[ 2023-08-10 15:55:57,175 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,215 ] 16 root - INFO - File CV_Med_Nour_Chouchene.pdf loaded successfully
[ 2023-08-10 15:55:57,215 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,280 ] 16 root - INFO - File CV_Med_Oussema_Zaier.pdf loaded successfully
[ 2023-08-10 15:55:57,280 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,337 ] 16 root - INFO - File CV_Mejdi_Belhadj_Youssef.pdf loaded successfully
[ 2023-08-10 15:55:57,337 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,394 ] 16 root - INFO - File CV_Mihed_Hassine.pdf loaded successfully
[ 2023-08-10 15:55:57,394 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,432 ] 35 root - ERROR - Error while reading the file: 'NoneType' object has no attribute 'lower'
[ 2023-08-10 15:55:57,432 ] 23 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-10 15:55:57,432 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,499 ] 16 root - INFO - File CV_Mohamed_Fawzi_Stambouli.pdf loaded successfully
[ 2023-08-10 15:55:57,499 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,542 ] 35 root - ERROR - Error while reading the file: 'NoneType' object has no attribute 'lower'
[ 2023-08-10 15:55:57,542 ] 23 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-10 15:55:57,542 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,612 ] 16 root - INFO - File CV_Nour_Mabrouk.pdf loaded successfully
[ 2023-08-10 15:55:57,612 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,676 ] 16 root - INFO - File CV_Ons_Ben_Hadj_Sghaier.pdf loaded successfully
[ 2023-08-10 15:55:57,676 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,740 ] 16 root - INFO - File CV_Oumaima_Ben_Saad.pdf loaded successfully
[ 2023-08-10 15:55:57,740 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-10 15:55:57,794 ] 16 root - INFO - File CV_Oumeima_Zaddem.pdf loaded successfully
