[ 2023-08-08 10:46:34,109 ] 695 tika.tika - WARNING - Failed to see startup log message; retrying...
[ 2023-08-08 10:46:39,582 ] 14 root - INFO - File CV_Abdelaziz_Brahem.pdf loaded successfully
[ 2023-08-08 10:46:39,582 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:39,614 ] 33 root - ERROR - Error while reading the file: 'NoneType' object has no attribute 'lower'
[ 2023-08-08 10:46:39,615 ] 21 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-08 10:46:39,615 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:39,724 ] 14 root - INFO - File CV_Ahlem_Marzougui.pdf loaded successfully
[ 2023-08-08 10:46:39,724 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:39,802 ] 14 root - INFO - File CV_Ahmed_Amamou.pdf loaded successfully
[ 2023-08-08 10:46:39,803 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:39,871 ] 14 root - INFO - File CV_Ahmed_Dziri.pdf loaded successfully
[ 2023-08-08 10:46:39,871 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,124 ] 14 root - INFO - File CV_Ahmed_Farhat.pdf loaded successfully
[ 2023-08-08 10:46:40,124 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,203 ] 14 root - INFO - File CV_Amine_Gafsi.pdf loaded successfully
[ 2023-08-08 10:46:40,203 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,249 ] 14 root - INFO - File CV_Amine_Ghedira.pdf loaded successfully
[ 2023-08-08 10:46:40,249 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,302 ] 14 root - INFO - File CV_Anwer_Boubaker.pdf loaded successfully
[ 2023-08-08 10:46:40,303 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,342 ] 14 root - INFO - File CV_Asma_Chakroun.pdf loaded successfully
[ 2023-08-08 10:46:40,342 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,390 ] 14 root - INFO - File CV_Aya_Benjazia.pdf loaded successfully
[ 2023-08-08 10:46:40,390 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,432 ] 14 root - INFO - File CV_Aymen_Ghnia.pdf loaded successfully
[ 2023-08-08 10:46:40,432 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,467 ] 14 root - INFO - File CV_Ayoub_Ben_Latifa.pdf loaded successfully
[ 2023-08-08 10:46:40,467 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,520 ] 14 root - INFO - File CV_Ben_Chaaben_Yassin.pdf loaded successfully
[ 2023-08-08 10:46:40,520 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,707 ] 14 root - INFO - File CV_Chedy_Sakly.pdf loaded successfully
[ 2023-08-08 10:46:40,708 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,757 ] 14 root - INFO - File CV_Donia_Chaouch.pdf loaded successfully
[ 2023-08-08 10:46:40,757 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,831 ] 14 root - INFO - File CV_Eya_Rejeb.pdf loaded successfully
[ 2023-08-08 10:46:40,831 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,866 ] 14 root - INFO - File CV_EYA_Sekma.pdf loaded successfully
[ 2023-08-08 10:46:40,866 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,912 ] 14 root - INFO - File CV_Fadi_Zaafrane.pdf loaded successfully
[ 2023-08-08 10:46:40,912 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:40,962 ] 14 root - INFO - File CV_Fatma_Bouzgarrou.pdf loaded successfully
[ 2023-08-08 10:46:40,962 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:41,010 ] 14 root - INFO - File CV_Hana_Zrafi.pdf loaded successfully
[ 2023-08-08 10:46:41,010 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:41,042 ] 14 root - INFO - File CV_Houssem_Hassani.pdf loaded successfully
[ 2023-08-08 10:46:41,042 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:41,112 ] 14 root - INFO - File CV_Houssem_Kraiem.pdf loaded successfully
[ 2023-08-08 10:46:41,113 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:41,158 ] 14 root - INFO - File CV_Ibrahim_Youssef.pdf loaded successfully
[ 2023-08-08 10:46:41,158 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:41,208 ] 14 root - INFO - File CV_Ibtihel_Khdhaouria.pdf loaded successfully
[ 2023-08-08 10:46:41,208 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:41,246 ] 14 root - INFO - File CV_Iheb_Alouane.pdf loaded successfully
[ 2023-08-08 10:46:41,246 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:41,284 ] 14 root - INFO - File CV_Isra_Dakhlaoui.pdf loaded successfully
[ 2023-08-08 10:46:41,284 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 10:46:41,338 ] 14 root - INFO - File CV_Khaled_Chtioui.pdf loaded successfully
