[ 2023-08-23 11:10:54,470 ] 695 tika.tika - WARNING - Failed to see startup log message; retrying...
[ 2023-08-23 11:11:00,300 ] 16 root - INFO - File computer_vision.pdf loaded successfully
[ 2023-08-23 11:11:00,300 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 11:11:00,511 ] 16 root - INFO - File CV_Amine_Gafsi.pdf loaded successfully
[ 2023-08-23 11:11:00,513 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 11:11:00,643 ] 16 root - INFO - File data_cv_test1.pdf loaded successfully
[ 2023-08-23 11:11:00,644 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 11:11:00,993 ] 16 root - INFO - File laravel.pdf loaded successfully
[ 2023-08-23 11:11:00,993 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 11:11:01,212 ] 16 root - INFO - File react_native.pdf loaded successfully
[ 2023-08-23 11:11:01,212 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 11:11:01,308 ] 16 root - INFO - File react_native2.pdf loaded successfully
[ 2023-08-23 11:11:01,309 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 11:11:01,393 ] 16 root - INFO - File react_native4.pdf loaded successfully
[ 2023-08-23 11:11:01,393 ] 24 root - INFO - Files transformed succesfully
