[ 2023-08-17 13:07:58,762 ] 695 tika.tika - WARNING - Failed to see startup log message; retrying...
[ 2023-08-17 13:08:04,382 ] 16 root - INFO - File CV_Ahlem_Marzougui.pdf loaded successfully
[ 2023-08-17 13:08:04,382 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:04,499 ] 16 root - INFO - File CV_Ahmed_Amamou.pdf loaded successfully
[ 2023-08-17 13:08:04,499 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:04,586 ] 16 root - INFO - File CV_Ahmed_Dziri.pdf loaded successfully
[ 2023-08-17 13:08:04,586 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:04,993 ] 16 root - INFO - File CV_Ahmed_Farhat.pdf loaded successfully
[ 2023-08-17 13:08:04,993 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,088 ] 16 root - INFO - File CV_Amine_Gafsi.pdf loaded successfully
[ 2023-08-17 13:08:05,089 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,162 ] 16 root - INFO - File CV_Amine_Ghedira.pdf loaded successfully
[ 2023-08-17 13:08:05,162 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,216 ] 16 root - INFO - File CV_Anwer_Boubaker.pdf loaded successfully
[ 2023-08-17 13:08:05,216 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,268 ] 16 root - INFO - File CV_Asma_Chakroun.pdf loaded successfully
[ 2023-08-17 13:08:05,269 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,333 ] 16 root - INFO - File CV_Aya_Benjazia.pdf loaded successfully
[ 2023-08-17 13:08:05,333 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,419 ] 16 root - INFO - File CV_Aymen_Ghnia.pdf loaded successfully
[ 2023-08-17 13:08:05,419 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,451 ] 16 root - INFO - File CV_Ayoub_Ben_Latifa.pdf loaded successfully
[ 2023-08-17 13:08:05,451 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,506 ] 16 root - INFO - File CV_Ben_Chaaben_Yassin.pdf loaded successfully
[ 2023-08-17 13:08:05,506 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,770 ] 16 root - INFO - File CV_Chedy_Sakly.pdf loaded successfully
[ 2023-08-17 13:08:05,770 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,845 ] 16 root - INFO - File CV_Donia_Chaouch.pdf loaded successfully
[ 2023-08-17 13:08:05,846 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,919 ] 16 root - INFO - File CV_Eya_Rejeb.pdf loaded successfully
[ 2023-08-17 13:08:05,919 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,946 ] 16 root - INFO - File CV_EYA_Sekma.pdf loaded successfully
[ 2023-08-17 13:08:05,946 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:05,990 ] 16 root - INFO - File CV_Fadi_Zaafrane.pdf loaded successfully
[ 2023-08-17 13:08:05,990 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 13:08:06,041 ] 16 root - INFO - File CV_Fatma_Bouzgarrou.pdf loaded successfully
