[ 2023-08-08 11:12:14,547 ] 695 tika.tika - WARNING - Failed to see startup log message; retrying...
[ 2023-08-08 11:12:19,937 ] 14 root - INFO - File CV_Houssem_Hassani.pdf loaded successfully
[ 2023-08-08 11:12:19,937 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 11:12:20,085 ] 14 root - INFO - File CV_Fadi_Zaafrane.pdf loaded successfully
[ 2023-08-08 11:12:20,085 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 11:12:20,086 ] 33 root - ERROR - Error while reading the file: [Errno 2] No such file or directory: 'D:\\programming\\ats\\data\\CV_Fatma_Bouzagarrou.pdf'
[ 2023-08-08 11:12:20,086 ] 21 root - ERROR - Error while reading the file: local variable 'e' referenced before assignment
[ 2023-08-08 11:12:20,086 ] 22 root - INFO - Files transformed succesfully
[ 2023-08-08 11:12:20,087 ] 73 root - ERROR - Error while Extracting the email: '>' not supported between instances of 'list' and 'int'
[ 2023-08-08 11:12:25,120 ] 73 root - ERROR - Error while Extracting the email: '>' not supported between instances of 'list' and 'int'
