[ 2023-08-23 12:45:31,653 ] 695 tika.tika - WARNING - Failed to see startup log message; retrying...
[ 2023-08-23 12:45:37,632 ] 16 root - INFO - File computer_vision.pdf loaded successfully
[ 2023-08-23 12:45:37,633 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 12:45:37,796 ] 16 root - INFO - File CV_Amine_Gafsi.pdf loaded successfully
[ 2023-08-23 12:45:37,796 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 12:45:37,870 ] 16 root - INFO - File data_cv_test1.pdf loaded successfully
[ 2023-08-23 12:45:37,870 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 12:45:38,236 ] 16 root - INFO - File laravel.pdf loaded successfully
[ 2023-08-23 12:45:38,236 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 12:45:38,381 ] 16 root - INFO - File react_native.pdf loaded successfully
[ 2023-08-23 12:45:38,381 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 12:45:38,456 ] 16 root - INFO - File react_native2.pdf loaded successfully
[ 2023-08-23 12:45:38,456 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 12:45:38,545 ] 16 root - INFO - File react_native4.pdf loaded successfully
[ 2023-08-23 12:45:38,545 ] 24 root - INFO - Files transformed succesfully
