[ 2023-08-23 13:54:11,502 ] 695 tika.tika - WARNING - Failed to see startup log message; retrying...
[ 2023-08-23 13:54:17,534 ] 16 root - INFO - File computer_vision.pdf loaded successfully
[ 2023-08-23 13:54:17,534 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 13:54:17,769 ] 16 root - INFO - File CV_Amine_Gafsi.pdf loaded successfully
[ 2023-08-23 13:54:17,770 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 13:54:17,885 ] 16 root - INFO - File data_cv_test1.pdf loaded successfully
[ 2023-08-23 13:54:17,885 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 13:54:18,244 ] 16 root - INFO - File laravel.pdf loaded successfully
[ 2023-08-23 13:54:18,244 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 13:54:18,423 ] 16 root - INFO - File react_native.pdf loaded successfully
[ 2023-08-23 13:54:18,423 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 13:54:18,521 ] 16 root - INFO - File react_native2.pdf loaded successfully
[ 2023-08-23 13:54:18,522 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-23 13:54:18,611 ] 16 root - INFO - File react_native4.pdf loaded successfully
[ 2023-08-23 13:54:18,611 ] 24 root - INFO - Files transformed succesfully
