[ 2023-08-17 15:27:09,647 ] 695 tika.tika - WARNING - Failed to see startup log message; retrying...
[ 2023-08-17 15:27:15,139 ] 16 root - INFO - File CV_Ahlem_Marzougui.pdf loaded successfully
[ 2023-08-17 15:27:15,139 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:15,229 ] 16 root - INFO - File CV_Ahmed_Amamou.pdf loaded successfully
[ 2023-08-17 15:27:15,229 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:15,296 ] 16 root - INFO - File CV_Ahmed_Dziri.pdf loaded successfully
[ 2023-08-17 15:27:15,296 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:15,671 ] 16 root - INFO - File CV_Ahmed_Farhat.pdf loaded successfully
[ 2023-08-17 15:27:15,671 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:15,748 ] 16 root - INFO - File CV_Amine_Gafsi.pdf loaded successfully
[ 2023-08-17 15:27:15,748 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:15,807 ] 16 root - INFO - File CV_Amine_Ghedira.pdf loaded successfully
[ 2023-08-17 15:27:15,807 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:15,857 ] 16 root - INFO - File CV_Anwer_Boubaker.pdf loaded successfully
[ 2023-08-17 15:27:15,857 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:15,913 ] 16 root - INFO - File CV_Asma_Chakroun.pdf loaded successfully
[ 2023-08-17 15:27:15,914 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:15,947 ] 16 root - INFO - File CV_Aya_Benjazia.pdf loaded successfully
[ 2023-08-17 15:27:15,947 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,010 ] 16 root - INFO - File CV_Aymen_Ghnia.pdf loaded successfully
[ 2023-08-17 15:27:16,010 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,030 ] 16 root - INFO - File CV_Ayoub_Ben_Latifa.pdf loaded successfully
[ 2023-08-17 15:27:16,030 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,059 ] 16 root - INFO - File CV_Ben_Chaaben_Yassin.pdf loaded successfully
[ 2023-08-17 15:27:16,059 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,255 ] 16 root - INFO - File CV_Chedy_Sakly.pdf loaded successfully
[ 2023-08-17 15:27:16,255 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,310 ] 16 root - INFO - File CV_Donia_Chaouch.pdf loaded successfully
[ 2023-08-17 15:27:16,310 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,361 ] 16 root - INFO - File CV_Eya_Rejeb.pdf loaded successfully
[ 2023-08-17 15:27:16,361 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,396 ] 16 root - INFO - File CV_EYA_Sekma.pdf loaded successfully
[ 2023-08-17 15:27:16,396 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,432 ] 16 root - INFO - File CV_Fadi_Zaafrane.pdf loaded successfully
[ 2023-08-17 15:27:16,432 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,464 ] 16 root - INFO - File CV_Fatma_Bouzgarrou.pdf loaded successfully
[ 2023-08-17 15:27:16,464 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,512 ] 16 root - INFO - File CV_Hana_Zrafi.pdf loaded successfully
[ 2023-08-17 15:27:16,512 ] 24 root - INFO - Files transformed succesfully
[ 2023-08-17 15:27:16,549 ] 16 root - INFO - File CV_Houssem_Hassani.pdf loaded successfully
[ 2023-08-17 15:27:16,549 ] 24 root - INFO - Files transformed succesfully
